experiment,best_epoch,test_loss,accuracy,precision,recall,f1,auroc,tn,fp,fn,tp
resnet18,9,0.0974217654287815,0.96275,0.9550594945422362,0.9712,0.9630621250433834,0.994539015,9543,457,288,9712
resnet18_tiny-genimage,7,0.5806132982117789,0.6915714285714286,0.7493492004462625,0.5757142857142857,0.6511552754887704,0.765181918367347,2826,674,1485,2015
simple_cnn,8,0.10113974949121475,0.96065,0.9513079259331831,0.971,0.9610531004107488,0.99402161,9503,497,290,9710
simple_cnn_tiny-genimage,9,0.5731755297524589,0.6984285714285714,0.6906395827614603,0.7188571428571429,0.7044659106817863,0.7698382040816327,2373,1127,984,2516
